
----------- Ïðîòîêîë ------------ Äàòà: 15.12.2025 16:58:13 ------------ 


----- Ïàðàìåòðû --------
-in: in.txt
-out: in.txt.out
-log: in.txt.log
---- Èñõîäíûå äàííûå ------
Êîëè÷åñòâî ñèìâîëîâ: 1845
Ïðîèãíîðèðîâàíî:   0
Êîëè÷åñòâî ñòðîê:  94

------------------------------ ÒÀÁËÈÖÀ ËÅÊÑÅÌ  ------------------------

|  N | ËÅÊÑÅÌÀ | ÑÒÐÎÊÀ | ÈÍÄÅÊÑ Â ÒÈ |
|141 |    e    |   35   |             |
|142 |    t    |   35   |             |
|143 |    i    |   35   |      11     |
|144 |    =    |   35   |             |
|145 |    l    |   35   |      21     |
|146 |    ;    |   35   |             |
|147 |    e    |   36   |             |
|148 |    t    |   36   |             |
|149 |    i    |   36   |      22     |
|150 |    =    |   36   |             |
|151 |    l    |   36   |      23     |
|152 |    ;    |   36   |             |
|153 |    e    |   37   |             |
|154 |    t    |   37   |             |
|155 |    i    |   37   |      24     |
|156 |    ;    |   37   |             |
|157 |    e    |   38   |             |
|158 |    t    |   38   |             |
|159 |    i    |   38   |      25     |
|160 |    =    |   38   |             |
|161 |    l    |   38   |      26     |
|162 |    ;    |   38   |             |
|163 |    u    |   39   |             |
|164 |    i    |   39   |      25     |
|165 |    ;    |   39   |             |
|166 |    ^    |   40   |             |
|167 |    ;    |   40   |             |
|168 |    e    |   42   |             |
|169 |    t    |   42   |             |
|170 |    i    |   42   |      27     |
|171 |    =    |   42   |             |
|172 |    l    |   42   |      28     |
|173 |    ;    |   42   |             |
|174 |    i    |   44   |      10     |
|175 |    (    |   44   |             |
|176 |    i    |   44   |      11     |
|177 |    )    |   44   |             |
|178 |    ;    |   44   |             |
|179 |    i    |   46   |      24     |
|180 |    =    |   46   |             |
|181 |    i    |   46   |       5     |
|182 |    (    |   46   |             |
|183 |    i    |   46   |      11     |
|184 |    ,    |   46   |             |
|185 |    i    |   46   |      22     |
|186 |    )    |   46   |             |
|187 |    ;    |   46   |             |
|188 |    u    |   47   |             |
|189 |    i    |   47   |      24     |
|190 |    ;    |   47   |             |
|191 |    i    |   49   |      27     |
|192 |    =    |   49   |             |
|193 |    x    |   49   |             |
|194 |    (    |   49   |             |
|195 |    i    |   49   |      11     |
|196 |    ,    |   49   |             |
|197 |    i    |   49   |      22     |
|198 |    )    |   49   |             |
|199 |    ;    |   49   |             |
|200 |    c    |   51   |             |
|201 |    [    |   51   |             |
|202 |    i    |   51   |      27     |
|203 |    !    |   51   |             |
|204 |    l    |   51   |      29     |
|205 |    ]    |   51   |             |
|206 |    {    |   52   |             |
|207 |    u    |   53   |             |
|208 |    l    |   53   |      30     |
|209 |    ;    |   53   |             |
|210 |    }    |   54   |             |
|211 |    b    |   55   |             |
|212 |    {    |   56   |             |
|213 |    u    |   57   |             |
|214 |    l    |   57   |      31     |
|215 |    ;    |   57   |             |
|216 |    }    |   58   |             |
|217 |    w    |   60   |             |
|218 |    [    |   60   |             |
|219 |    i    |   60   |      14     |
|220 |    @    |   60   |             |
|221 |    i    |   60   |      16     |
|222 |    ]    |   60   |             |
|223 |    {    |   61   |             |
|224 |    i    |   62   |      14     |
|225 |    =    |   62   |             |
|226 |    i    |   62   |      14     |
|227 |    +    |   62   |             |
|228 |    l    |   62   |      19     |
|229 |    ;    |   62   |             |
|230 |    u    |   63   |             |
|231 |    i    |   63   |      14     |
|232 |    ;    |   63   |             |
|233 |    }    |   64   |             |
|234 |    i    |   65   |      20     |
|235 |    =    |   65   |             |
|236 |    i    |   65   |       0     |
|237 |    (    |   65   |             |
|238 |    l    |   65   |      32     |
|239 |    ,    |   65   |             |
|240 |    l    |   65   |      33     |
|241 |    ,    |   65   |             |
|242 |    l    |   65   |      34     |
|243 |    )    |   65   |             |
|244 |    ;    |   65   |             |
|245 |    u    |   66   |             |
|246 |    i    |   66   |      20     |
|247 |    ;    |   66   |             |
|248 |    e    |   67   |             |
|249 |    t    |   67   |             |
|250 |    i    |   67   |      35     |
|251 |    ;    |   67   |             |
|252 |    e    |   68   |             |
|253 |    t    |   68   |             |
|254 |    i    |   68   |      36     |
|255 |    ;    |   68   |             |
|256 |    e    |   69   |             |
|257 |    t    |   69   |             |
|258 |    i    |   69   |      37     |
|259 |    ;    |   69   |             |
|260 |    i    |   71   |      35     |
|261 |    =    |   71   |             |
|262 |    i    |   71   |      14     |
|263 |    |    |   71   |             |
|264 |    i    |   71   |      18     |
|265 |    ;    |   71   |             |
|266 |    u    |   72   |             |
|267 |    i    |   72   |      35     |
|268 |    ;    |   72   |             |
|269 |    i    |   73   |      36     |
|270 |    =    |   73   |             |
|271 |    i    |   73   |      14     |
|272 |    &    |   73   |             |
|273 |    i    |   73   |      18     |
|274 |    ;    |   73   |             |
|275 |    u    |   74   |             |
|276 |    i    |   74   |      36     |
|277 |    ;    |   74   |             |
|278 |    i    |   75   |      37     |
|279 |    =    |   75   |             |
|280 |    ~    |   75   |             |
|281 |    i    |   75   |      14     |
|282 |    ;    |   75   |             |
|283 |    u    |   76   |             |
|284 |    i    |   76   |      37     |
|285 |    ;    |   76   |             |
|286 |    e    |   78   |             |
|287 |    t    |   78   |             |
|288 |    i    |   78   |      38     |
|289 |    =    |   78   |             |
|290 |    (    |   78   |             |
|291 |    i    |   78   |      14     |
|292 |    +    |   78   |             |
|293 |    i    |   78   |      16     |
|294 |    )    |   78   |             |
|295 |    *    |   78   |             |
|296 |    l    |   78   |      39     |
|297 |    +    |   78   |             |
|298 |    z    |   78   |             |
|299 |    (    |   78   |             |
|300 |    i    |   78   |      14     |
|301 |    ,    |   78   |             |
|302 |    i    |   78   |      16     |
|303 |    )    |   78   |             |
|304 |    ;    |   78   |             |
|305 |    s    |   80   |             |
|306 |    [    |   80   |             |
|307 |    i    |   80   |      14     |
|308 |    ]    |   80   |             |
|309 |    {    |   81   |             |
|310 |    p    |   82   |             |
|311 |    l    |   82   |      40     |
|312 |    {    |   82   |             |
|313 |    u    |   83   |             |
|314 |    l    |   83   |      41     |
|315 |    ;    |   83   |             |
|316 |    }    |   84   |             |
|317 |    p    |   85   |             |
|318 |    l    |   85   |      42     |
|319 |    {    |   85   |             |
|320 |    u    |   86   |             |
|321 |    l    |   86   |      43     |
|322 |    ;    |   86   |             |
|323 |    }    |   87   |             |
|324 |    d    |   88   |             |
|325 |    {    |   88   |             |
|326 |    u    |   89   |             |
|327 |    l    |   89   |      44     |
|328 |    ;    |   89   |             |
|329 |    }    |   90   |             |
|330 |    }    |   91   |             |
|331 |    u    |   92   |             |
|332 |    l    |   92   |      45     |
|333 |    ;    |   92   |             |
|334 |    }    |   93   |             |
|335 |    $    |   93   |             |
--------------------------------------------------------------------------------------------------------
|  N  |Stroke in TL|ID type                   |Name                         |Variable (parameters)        |
--------------------------------------------------------------------------------------------------------
|   0 |          2 |          squire function |                     max_three |P0:squire, P1:squire, P2:squire |
|   1 |          5 |         squire parameter |                             a |                             0 |
|   2 |          8 |         squire parameter |                             b |                             0 |
|   3 |         11 |         squire parameter |                             c |                             0 |
|   4 |         16 |          squire variable |                max_three.temp |                             0 |
|   5 |         42 |          scroll function |                 unite_scrolls |          P0:scroll, P1:scroll |
|   6 |         45 |         scroll parameter |                            s1 |                           [0] |
|   7 |         48 |         scroll parameter |                            s2 |                           [0] |
|   8 |         53 |          scroll variable |          unite_scrolls.result |                           [0] |
|   9 |         57 |          squire variable |            unite_scrolls.len1 |                             0 |
|  10 |         86 |          hollow function |                         greet |                     P0:scroll |
|  11 |         89 |         scroll parameter |                          name |                           [0] |
|  12 |         94 |          scroll variable |                   greet.hello |                           [0] |
|  13 |         98 |           scroll literal |                         LTRL1 |               [11]Greetings,  |
|  14 |        121 |          squire variable |                      temple.x |                             0 |
|  15 |        123 |           squire literal |                         LTRL2 |                            10 |
|  16 |        127 |          squire variable |                      temple.y |                             0 |
|  17 |        129 |           squire literal |                         LTRL3 |                            25 |
|  18 |        133 |          squire variable |                      temple.z |                             0 |
|  19 |        135 |           squire literal |                         LTRL4 |                             5 |
|  20 |        139 |          squire variable |                temple.max_val |                             0 |
|  21 |        145 |           scroll literal |                         LTRL5 |                [10]Sir Arthur |
|  22 |        149 |          scroll variable |                  temple.title |                           [0] |
|  23 |        151 |           scroll literal |                         LTRL6 |                [10] the Brave |
|  24 |        155 |          scroll variable |             temple.full_title |                           [0] |
|  25 |        159 |            rune variable |                    temple.sym |                           [0] |
|  26 |        161 |             rune literal |                         LTRL7 |                          [1]a |
|  27 |        170 |           honor variable |            temple.equal_check |                           [0] |
|  28 |        172 |            honor literal |                         LTRL8 |                           [0] |
|  29 |        204 |            honor literal |                         LTRL9 |                           [1] |
|  30 |        208 |           scroll literal |                        LTRL10 |            [14]Titles differ. |
|  31 |        214 |           scroll literal |                        LTRL11 |         [17]Titles are equal. |
|  32 |        238 |           squire literal |                        LTRL12 |                            12 |
|  33 |        240 |           squire literal |                        LTRL13 |                            44 |
|  34 |        242 |           squire literal |                        LTRL14 |                            33 |
|  35 |        250 |          squire variable |                 temple.bit_or |                             0 |
|  36 |        254 |          squire variable |                temple.bit_and |                             0 |
|  37 |        258 |          squire variable |                temple.bit_not |                             0 |
|  38 |        288 |          squire variable |                      temple.t |                             0 |
|  39 |        296 |           squire literal |                        LTRL15 |                            42 |
|  40 |        311 |           squire literal |                        LTRL16 |                             1 |
|  41 |        314 |           scroll literal |                        LTRL17 |           [15]Path one taken. |
|  42 |        318 |           squire literal |                        LTRL18 |                             2 |
|  43 |        321 |           scroll literal |                        LTRL19 |           [15]Path two taken. |
|  44 |        327 |           scroll literal |                        LTRL20 |[29]No matching path -- tiresome. |
|  45 |        332 |           scroll literal |                        LTRL21 |     [21]End of demonstration. |
--------------------------------------------------------------------------------------------------------


-----------------  ËÅÊÑÅÌÛ ÑÎÎÒÂÅÒÑÒÂÓÞÙÈÅ ÈÑÕÎÄÍÎÌÓ ÊÎÄÓ ---------------------

  1 | ati[0][ti[1],ti[2],ti[3]]
  2 | {
  3 | eti[4];
  4 | i[4]=z(i[1],i[2]);
  5 | i[4]=z(i[4],i[3]);
  6 | ri[4];
  7 | }
  8 | ati[5][ti[6],ti[7]]
  9 | {
 10 | eti[8];
 11 | eti[9];
 12 | i[9]=n(i[6]);
 13 | ui[9];
 14 | ^;
 15 | i[8]=y(i[6],i[7]);
 16 | ri[8];
 17 | }
 18 | ahi[10][ti[11]]
 19 | {
 20 | eti[12];
 21 | i[12]=l[13];
 22 | i[12]=y(i[12],i[11]);
 23 | ui[12];
 24 | ^;
 25 | r;
 26 | }
 28 | m
 29 | {
 30 | eti[14]=l[15];
 31 | eti[16]=l[17];
 32 | eti[18]=l[19];
 33 | eti[20];
 35 | eti[11]=l[21];
 36 | eti[22]=l[23];
 37 | eti[24];
 38 | eti[25]=l[26];
 39 | ui[25];
 40 | ^;
 42 | eti[27]=l[28];
 44 | i[10](i[11]);
 46 | i[24]=i[5](i[11],i[22]);
 47 | ui[24];
 49 | i[27]=x(i[11],i[22]);
 51 | c[i[27]!l[29]]
 52 | {
 53 | ul[30];
 54 | }
 55 | b
 56 | {
 57 | ul[31];
 58 | }
 60 | w[i[14]@i[16]]
 61 | {
 62 | i[14]=i[14]+l[19];
 63 | ui[14];
 64 | }
 65 | i[20]=i[0](l[32],l[33],l[34]);
 66 | ui[20];
 67 | eti[35];
 68 | eti[36];
 69 | eti[37];
 71 | i[35]=i[14]|i[18];
 72 | ui[35];
 73 | i[36]=i[14]&i[18];
 74 | ui[36];
 75 | i[37]=~i[14];
 76 | ui[37];
 78 | eti[38]=(i[14]+i[16])*l[39]+z(i[14],i[16]);
 80 | s[i[14]]
 81 | {
 82 | pl[40]{
 83 | ul[41];
 84 | }
 85 | pl[42]{
 86 | ul[43];
 87 | }
 88 | d{
 89 | ul[44];
 90 | }
 91 | }
 92 | ul[45];
 93 | }$
-------------------------------------------------------------------------

Øàã :Ïðàâèëî             Âõîäíàÿ ëåíòà                 Ñòåê                
0   :S->ati[F]{TrE;}S    ati[ti,ti,ti]{eti;i=z(i,i     S$                  
1   : SAVESTATE:          1
1   :                    ati[ti,ti,ti]{eti;i=z(i,i     ati[F]{TrE;}S$      
2   :                    ti[ti,ti,ti]{eti;i=z(i,i)     ti[F]{TrE;}S$       
3   :                    i[ti,ti,ti]{eti;i=z(i,i);     i[F]{TrE;}S$        
4   :                    [ti,ti,ti]{eti;i=z(i,i);i     [F]{TrE;}S$         
5   :                    ti,ti,ti]{eti;i=z(i,i);i=     F]{TrE;}S$          
6   :F->ti,F             ti,ti,ti]{eti;i=z(i,i);i=     F]{TrE;}S$          
7   : SAVESTATE:          2
7   :                    ti,ti,ti]{eti;i=z(i,i);i=     ti,F]{TrE;}S$       
8   :                    i,ti,ti]{eti;i=z(i,i);i=z     i,F]{TrE;}S$        
9   :                    ,ti,ti]{eti;i=z(i,i);i=z(     ,F]{TrE;}S$         
10  :                    ti,ti]{eti;i=z(i,i);i=z(i     F]{TrE;}S$          
11  :F->ti,F             ti,ti]{eti;i=z(i,i);i=z(i     F]{TrE;}S$          
12  : SAVESTATE:          3
12  :                    ti,ti]{eti;i=z(i,i);i=z(i     ti,F]{TrE;}S$       
13  :                    i,ti]{eti;i=z(i,i);i=z(i,     i,F]{TrE;}S$        
14  :                    ,ti]{eti;i=z(i,i);i=z(i,i     ,F]{TrE;}S$         
15  :                    ti]{eti;i=z(i,i);i=z(i,i)     F]{TrE;}S$          
16  :F->ti,F             ti]{eti;i=z(i,i);i=z(i,i)     F]{TrE;}S$          
17  : SAVESTATE:          4
17  :                    ti]{eti;i=z(i,i);i=z(i,i)     ti,F]{TrE;}S$       
18  :                    i]{eti;i=z(i,i);i=z(i,i);     i,F]{TrE;}S$        
19  :                    ]{eti;i=z(i,i);i=z(i,i);r     ,F]{TrE;}S$         
20  : TS_NOK/NS_NORULECHï¿½IN
20  : RESSTATE            
20  :                    ti]{eti;i=z(i,i);i=z(i,i)     F]{TrE;}S$          
21  :F->ti               ti]{eti;i=z(i,i);i=z(i,i)     F]{TrE;}S$          
22  : SAVESTATE:          4
22  :                    ti]{eti;i=z(i,i);i=z(i,i)     ti]{TrE;}S$         
23  :                    i]{eti;i=z(i,i);i=z(i,i);     i]{TrE;}S$          
24  :                    ]{eti;i=z(i,i);i=z(i,i);r     ]{TrE;}S$           
25  :                    {eti;i=z(i,i);i=z(i,i);ri     {TrE;}S$            
26  :                    eti;i=z(i,i);i=z(i,i);ri;     TrE;}S$             
27  :T->eti;             eti;i=z(i,i);i=z(i,i);ri;     TrE;}S$             
28  : SAVESTATE:          5
28  :                    eti;i=z(i,i);i=z(i,i);ri;     eti;rE;}S$          
29  :                    ti;i=z(i,i);i=z(i,i);ri;}     ti;rE;}S$           
30  :                    i;i=z(i,i);i=z(i,i);ri;}a     i;rE;}S$            
31  :                    ;i=z(i,i);i=z(i,i);ri;}at     ;rE;}S$             
32  :                    i=z(i,i);i=z(i,i);ri;}ati     rE;}S$              
33  : TS_NOK/NS_NORULECHï¿½IN
33  : RESSTATE            
33  :                    eti;i=z(i,i);i=z(i,i);ri;     TrE;}S$             
34  :T->eti;T            eti;i=z(i,i);i=z(i,i);ri;     TrE;}S$             
35  : SAVESTATE:          5
35  :                    eti;i=z(i,i);i=z(i,i);ri;     eti;TrE;}S$         
36  :                    ti;i=z(i,i);i=z(i,i);ri;}     ti;TrE;}S$          
37  :                    i;i=z(i,i);i=z(i,i);ri;}a     i;TrE;}S$           
38  :                    ;i=z(i,i);i=z(i,i);ri;}at     ;TrE;}S$            
39  :                    i=z(i,i);i=z(i,i);ri;}ati     TrE;}S$             
40  :T->i=E;             i=z(i,i);i=z(i,i);ri;}ati     TrE;}S$             
41  : SAVESTATE:          6
41  :                    i=z(i,i);i=z(i,i);ri;}ati     i=E;rE;}S$          
42  :                    =z(i,i);i=z(i,i);ri;}ati[     =E;rE;}S$           
43  :                    z(i,i);i=z(i,i);ri;}ati[t     E;rE;}S$            
44  :E->z(W)             z(i,i);i=z(i,i);ri;}ati[t     E;rE;}S$            
45  : SAVESTATE:          7
45  :                    z(i,i);i=z(i,i);ri;}ati[t     z(W);rE;}S$         
46  :                    (i,i);i=z(i,i);ri;}ati[ti     (W);rE;}S$          
47  :                    i,i);i=z(i,i);ri;}ati[ti,     W);rE;}S$           
48  :W->i                i,i);i=z(i,i);ri;}ati[ti,     W);rE;}S$           
49  : SAVESTATE:          8
49  :                    i,i);i=z(i,i);ri;}ati[ti,     i);rE;}S$           
50  :                    ,i);i=z(i,i);ri;}ati[ti,t     );rE;}S$            
51  : TS_NOK/NS_NORULECHï¿½IN
51  : RESSTATE            
51  :                    i,i);i=z(i,i);ri;}ati[ti,     W);rE;}S$           
52  :W->i,W              i,i);i=z(i,i);ri;}ati[ti,     W);rE;}S$           
53  : SAVESTATE:          8
53  :                    i,i);i=z(i,i);ri;}ati[ti,     i,W);rE;}S$         
54  :                    ,i);i=z(i,i);ri;}ati[ti,t     ,W);rE;}S$          
55  :                    i);i=z(i,i);ri;}ati[ti,ti     W);rE;}S$           
56  :W->i                i);i=z(i,i);ri;}ati[ti,ti     W);rE;}S$           
57  : SAVESTATE:          9
57  :                    i);i=z(i,i);ri;}ati[ti,ti     i);rE;}S$           
58  :                    );i=z(i,i);ri;}ati[ti,ti]     );rE;}S$            
59  :                    ;i=z(i,i);ri;}ati[ti,ti]{     ;rE;}S$             
60  :                    i=z(i,i);ri;}ati[ti,ti]{e     rE;}S$              
61  : TS_NOK/NS_NORULECHï¿½IN
61  : RESSTATE            
61  :                    i);i=z(i,i);ri;}ati[ti,ti     W);rE;}S$           
62  :W->i,W              i);i=z(i,i);ri;}ati[ti,ti     W);rE;}S$           
63  : SAVESTATE:          9
63  :                    i);i=z(i,i);ri;}ati[ti,ti     i,W);rE;}S$         
64  :                    );i=z(i,i);ri;}ati[ti,ti]     ,W);rE;}S$          
65  : TS_NOK/NS_NORULECHï¿½IN
65  : RESSTATE            
65  :                    i);i=z(i,i);ri;}ati[ti,ti     W);rE;}S$           
66  : TNS_NORULECHAIN/NS_NORULE
66  : RESSTATE            
66  :                    i,i);i=z(i,i);ri;}ati[ti,     W);rE;}S$           
67  : TNS_NORULECHAIN/NS_NORULE
67  : RESSTATE            
67  :                    z(i,i);i=z(i,i);ri;}ati[t     E;rE;}S$            
68  : TNS_NORULECHAIN/NS_NORULE
68  : RESSTATE            
68  :                    i=z(i,i);i=z(i,i);ri;}ati     TrE;}S$             
69  :T->i=E;T            i=z(i,i);i=z(i,i);ri;}ati     TrE;}S$             
70  : SAVESTATE:          6
70  :                    i=z(i,i);i=z(i,i);ri;}ati     i=E;TrE;}S$         
71  :                    =z(i,i);i=z(i,i);ri;}ati[     =E;TrE;}S$          
72  :                    z(i,i);i=z(i,i);ri;}ati[t     E;TrE;}S$           
73  :E->z(W)             z(i,i);i=z(i,i);ri;}ati[t     E;TrE;}S$           
74  : SAVESTATE:          7
74  :                    z(i,i);i=z(i,i);ri;}ati[t     z(W);TrE;}S$        
75  :                    (i,i);i=z(i,i);ri;}ati[ti     (W);TrE;}S$         
76  :                    i,i);i=z(i,i);ri;}ati[ti,     W);TrE;}S$          
77  :W->i                i,i);i=z(i,i);ri;}ati[ti,     W);TrE;}S$          
78  : SAVESTATE:          8
78  :                    i,i);i=z(i,i);ri;}ati[ti,     i);TrE;}S$          
79  :                    ,i);i=z(i,i);ri;}ati[ti,t     );TrE;}S$           
80  : TS_NOK/NS_NORULECHï¿½IN
80  : RESSTATE            
80  :                    i,i);i=z(i,i);ri;}ati[ti,     W);TrE;}S$          
81  :W->i,W              i,i);i=z(i,i);ri;}ati[ti,     W);TrE;}S$          
82  : SAVESTATE:          8
82  :                    i,i);i=z(i,i);ri;}ati[ti,     i,W);TrE;}S$        
83  :                    ,i);i=z(i,i);ri;}ati[ti,t     ,W);TrE;}S$         
84  :                    i);i=z(i,i);ri;}ati[ti,ti     W);TrE;}S$          
85  :W->i                i);i=z(i,i);ri;}ati[ti,ti     W);TrE;}S$          
86  : SAVESTATE:          9
86  :                    i);i=z(i,i);ri;}ati[ti,ti     i);TrE;}S$          
87  :                    );i=z(i,i);ri;}ati[ti,ti]     );TrE;}S$           
88  :                    ;i=z(i,i);ri;}ati[ti,ti]{     ;TrE;}S$            
89  :                    i=z(i,i);ri;}ati[ti,ti]{e     TrE;}S$             
90  :T->i=E;             i=z(i,i);ri;}ati[ti,ti]{e     TrE;}S$             
91  : SAVESTATE:          10
91  :                    i=z(i,i);ri;}ati[ti,ti]{e     i=E;rE;}S$          
92  :                    =z(i,i);ri;}ati[ti,ti]{et     =E;rE;}S$           
93  :                    z(i,i);ri;}ati[ti,ti]{eti     E;rE;}S$            
94  :E->z(W)             z(i,i);ri;}ati[ti,ti]{eti     E;rE;}S$            
95  : SAVESTATE:          11
95  :                    z(i,i);ri;}ati[ti,ti]{eti     z(W);rE;}S$         
96  :                    (i,i);ri;}ati[ti,ti]{eti;     (W);rE;}S$          
97  :                    i,i);ri;}ati[ti,ti]{eti;e     W);rE;}S$           
98  :W->i                i,i);ri;}ati[ti,ti]{eti;e     W);rE;}S$           
99  : SAVESTATE:          12
99  :                    i,i);ri;}ati[ti,ti]{eti;e     i);rE;}S$           
100 :                    ,i);ri;}ati[ti,ti]{eti;et     );rE;}S$            
101 : TS_NOK/NS_NORULECHï¿½IN
101 : RESSTATE            
101 :                    i,i);ri;}ati[ti,ti]{eti;e     W);rE;}S$           
102 :W->i,W              i,i);ri;}ati[ti,ti]{eti;e     W);rE;}S$           
103 : SAVESTATE:          12
103 :                    i,i);ri;}ati[ti,ti]{eti;e     i,W);rE;}S$         
104 :                    ,i);ri;}ati[ti,ti]{eti;et     ,W);rE;}S$          
105 :                    i);ri;}ati[ti,ti]{eti;eti     W);rE;}S$           
106 :W->i                i);ri;}ati[ti,ti]{eti;eti     W);rE;}S$           
107 : SAVESTATE:          13
107 :                    i);ri;}ati[ti,ti]{eti;eti     i);rE;}S$           
108 :                    );ri;}ati[ti,ti]{eti;eti;     );rE;}S$            
109 :                    ;ri;}ati[ti,ti]{eti;eti;i     ;rE;}S$             
110 :                    ri;}ati[ti,ti]{eti;eti;i=     rE;}S$              
111 :                    i;}ati[ti,ti]{eti;eti;i=n     E;}S$               
112 :E->i                i;}ati[ti,ti]{eti;eti;i=n     E;}S$               
113 : SAVESTATE:          14
113 :                    i;}ati[ti,ti]{eti;eti;i=n     i;}S$               
114 :                    ;}ati[ti,ti]{eti;eti;i=n(     ;}S$                
115 :                    }ati[ti,ti]{eti;eti;i=n(i     }S$                 
